stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_name,location_type,stop_code
49.9061593327,,-97.1738445596,https://winnipegtransit.com/stops/10411,10411,Westbound Notre Dame at Ingersoll,0,10411
49.8715830629,,-97.1512108144,https://winnipegtransit.com/stops/10146,10146,Westbound Corydon at Hugo,0,10146
49.8732485057,,-97.1462341271,https://winnipegtransit.com/stops/10149,10149,Westbound Corydon at Nassau,0,10149
49.872467413,,-97.1485744022,https://winnipegtransit.com/stops/10148,10148,Westbound Corydon at Daly,0,10148
49.8914305421,,-97.1509258734,https://winnipegtransit.com/stops/17015,17015,Northbound Colony at Portage North,0,17015
49.9034247361,,-97.1658703093,https://winnipegtransit.com/stops/10419,10419,Eastbound Notre Dame at Simcoe,0,10419
49.9035194317,,-97.1656021089,https://winnipegtransit.com/stops/10418,10418,Westbound Notre Dame at Tecumseh,0,10418
49.9198837341,,-97.1949477038,https://winnipegtransit.com/stops/10387,10387,Northbound Keewatin at Pacific,0,10387
49.8837821381,,-97.1957934576,https://winnipegtransit.com/stops/10386,10386,Westbound Westway at Empress,0,10386
49.8947576158,,-97.2659518626,https://winnipegtransit.com/stops/20152,20152,Westbound Murray Park at Saulteaux,0,20152
49.8821134075,,-97.1966491404,https://winnipegtransit.com/stops/10383,10383,Southbound Empress at Eastway,0,10383
49.8848575483,,-97.1995817394,https://winnipegtransit.com/stops/10381,10381,Westbound Polo Park West Access at Polo Park (FX4),0,10381
49.8442043905,,-97.0735956334,https://winnipegtransit.com/stops/50352,50352,Eastbound Beaverhill at Lakewood,0,50352
49.9169156115,,-97.1949610302,https://winnipegtransit.com/stops/10389,10389,Northbound Keewatin at William,0,10389
49.8480106915,,-97.2575539576,https://winnipegtransit.com/stops/60649,60649,Southbound Elmhurst at Beiko,0,60649
49.8448886143,,-97.2580974174,https://winnipegtransit.com/stops/60648,60648,Westbound Ridgewood at Elmhurst,0,60648
49.88602034,,-97.2651373208,https://winnipegtransit.com/stops/20157,20157,Westbound Ness at Wallasey,0,20157
49.9560859456,,-97.1994220071,https://winnipegtransit.com/stops/37009,37009,Eastbound Old Commonwealth at Singh,0,37009
49.9551363362,,-97.1956234792,https://winnipegtransit.com/stops/37005,37005,Westbound Old Commonwealth at Dr. Jose Rizal,0,37005
49.9487597746,,-97.1182447205,https://winnipegtransit.com/stops/37004,37004,Southbound Salter at Templeton,0,37004
49.9500897483,,-97.1165061083,https://winnipegtransit.com/stops/37003,37003,Northbound Southall at Southall Loop,0,37003
49.8522375229,,-97.2604903917,https://winnipegtransit.com/stops/60644,60644,Northbound Laxdal at Eldridge,0,60644
